n, iterative-time, recursive-time
1550,5375,5334
1551,5333,5333
1552,5375,5333
1553,5375,5375
1554,5375,5375
1555,5375,5333
1556,5375,5417
1557,5375,5375
1558,5375,5333
1559,5333,5375
1560,5334,5375
1561,5417,5375
1562,5375,5417
1563,5333,5375
1564,5375,5417
1565,5375,5417
1566,5416,5375
1567,5417,5417
1568,5375,5375
1569,5375,5417
1570,5417,5416
1571,5375,5375
1572,5416,5458
1573,5417,5416
1574,5458,5375
1575,5417,5417
1576,5458,5416
1577,5416,5458
1578,5458,5458
1579,5417,5459
1580,5625,5917
1581,5708,5666
1582,5708,5625
1583,5625,5667
1584,6084,5833
1585,5834,5833
1586,5709,5834
1587,5625,5541
1588,5500,5459
1589,5500,5459
1590,5417,5500
1591,5458,5500
1592,5500,5541
1593,5584,5584
1594,5500,5500
1595,5500,5500
1596,5500,5500
1597,5500,5500
1598,5500,5542
1599,5500,5500
1600,5500,5500
1601,5500,5542
1602,5458,5583
1603,5459,5542
1604,5542,5584
1605,5500,5458
1606,5584,5584
1607,5583,5542
1608,5500,5542
1609,5583,5542
1610,5542,5583
1611,5542,5541
1612,5541,5583
1613,5583,5542
1614,5542,5625
1615,5583,5542
1616,5625,5542
1617,5625,5583
1618,5625,5625
1619,5583,5625
1620,5584,5542
1621,5583,5625
1622,5584,5584
1623,5625,5667
1624,5542,5583
1625,5625,5584
1626,5625,5625
1627,5625,5625
1628,5667,5583
1629,5625,5625
1630,5625,5625
1631,5542,5667
1632,5541,5625
1633,5625,5667
1634,5625,5667
1635,5666,5625
1636,5666,5667
1637,5625,5708
1638,5666,5667
1639,5625,5708
1640,5708,5667
1641,5709,5667
1642,5709,5667
1643,5667,5666
1644,5666,5750
1645,5709,5750
1646,5666,5666
1647,5667,5709
1648,5708,5667
1649,5708,5708
1650,5667,5709
1651,5625,5667
1652,5667,5667
1653,5709,5709
1654,5625,5708
1655,5667,5708
1656,5750,5709
1657,5625,5709
1658,5709,5709
1659,5709,5709
1660,5708,5792
1661,5709,5708
1662,5750,5667
1663,5750,5750
1664,5792,5708
1665,5750,5750
1666,5792,5791
1667,5750,5792
1668,5750,5792
1669,5667,5791
1670,5708,6042
1671,5958,6000
1672,5959,5958
1673,6000,5959
1674,6292,6208
1675,6166,6250
1676,6208,5958
1677,6167,5750
1678,5792,5750
1679,5792,5875
1680,5750,5792
1681,5792,5750
1682,5750,5792
1683,5792,5792
1684,5833,5791
1685,5791,5792
1686,5875,5791
1687,5833,5833
1688,5792,5875
1689,5791,5833
1690,5875,5834
1691,5875,5834
1692,5833,5792
1693,5833,5791
1694,5833,5833
1695,5833,5875
1696,5875,5833
1697,5833,5875
1698,5875,5833
1699,5875,5833
1700,5875,5875
1701,5916,5875
1702,5875,5875
1703,5834,5875
1704,5875,5875
1705,5917,5875
1706,5833,5875
1707,5875,5875
1708,5833,5875
1709,5875,5875
1710,5917,5875
1711,5875,6000
1712,5875,5917
1713,5917,5917
1714,5917,5875
1715,5917,5917
1716,5959,5959
